Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
 grace ,25.0,50000.0,Male,HR,Manager,"April 5, 2018",D,email@example.com,
 hannah ,35.0,60000.0,Female,Sales,Director,01/15/2020,C,email@example.com,098-765-4321
 grace ,40.0,50000.0,Other,HR,Director,03-25-2019,C,, 
 hannah ,40.0,60000.0,Female,Marketing,Manager,01/15/2020,C,user@domain.com,123-456-7890
 david ,25.0,70000.0,Male,Marketing,Analyst,2019.12.01,B,,123-456-7890
 charlie ,25.0,55000.0,Other,HR,Manager,2020/02/20,F,,555-555-5555
 frank ,50.0,,Male,Marketing,Director,03-25-2019,A,,123-456-7890
 eve ,35.0,65000.0,Male,Finance,Clerk,"April 5, 2018",F,,123-456-7890
 bob ,40.0,55000.0,Female,Sales,Assistant,01/15/2020,B,,098-765-4321
 hannah ,50.0,55000.0,Male,HR,Director,"April 5, 2018",D,user@domain.com, 
 frank ,25.0,,Female,IT,Clerk,03-25-2019,B,email@example.com,555-555-5555
 bob ,50.0,50000.0,Female,Finance,Assistant,03-25-2019,D,user@domain.com,
 eve ,35.0,50000.0,Female,IT,Clerk,01/15/2020,D,email@example.com,098-765-4321
 alice ,25.0,50000.0,Other,IT,Director,"April 5, 2018",F,user@domain.com,555-555-5555
 jack ,50.0,50000.0,Other,Marketing,Analyst,"April 5, 2018",B,email@example.com, 
 frank ,40.0,70000.0,Other,Marketing,Director,01/15/2020,B,email@example.com,555-555-5555
 ivy ,40.0,50000.0,Other,Finance,Manager,"April 5, 2018",A,name@company.org,123-456-7890
 jack ,50.0,70000.0,Male,Finance,Analyst,2020/02/20,A,email@example.com,098-765-4321
 grace ,50.0,60000.0,Male,IT,Clerk,2020/02/20,C,, 
 david ,25.0,65000.0,Male,HR,Assistant,2019.12.01,C,,555-555-5555
 ivy ,25.0,55000.0,Female,Finance,Manager,2019.12.01,B,name@company.org,098-765-4321
 charlie ,50.0,70000.0,Female,Finance,Clerk,2019.12.01,B,, 
 eve ,35.0,,Female,Sales,Director,01/15/2020,A,email@example.com,123-456-7890
 charlie ,40.0,,Female,IT,Director,"April 5, 2018",D,email@example.com,555-555-5555
 grace ,25.0,65000.0,Male,IT,Assistant,2020/02/20,A,name@company.org,
 eve ,40.0,,Other,Sales,Manager,2020/02/20,C,name@company.org,123-456-7890
 ivy ,25.0,60000.0,Male,IT,Manager,2020/02/20,A,,098-765-4321
 david ,25.0,55000.0,Female,Finance,Assistant,2020/02/20,A,,
 ivy ,40.0,70000.0,Female,HR,Assistant,"April 5, 2018",C,email@example.com,
 jack ,25.0,60000.0,Other,Marketing,Director,2020/02/20,B,,123-456-7890
 ivy ,35.0,70000.0,Male,IT,Analyst,01/15/2020,A,,555-555-5555
 eve ,25.0,50000.0,Female,Marketing,Manager,03-25-2019,B,,
 david ,35.0,,Male,Sales,Assistant,2019.12.01,F,user@domain.com,098-765-4321
 grace ,50.0,50000.0,Male,IT,Director,2020/02/20,C,,555-555-5555
 alice ,35.0,65000.0,Other,Marketing,Manager,01/15/2020,D,,098-765-4321
 bob ,35.0,70000.0,Female,IT,Director,03-25-2019,A,,098-765-4321
 hannah ,25.0,60000.0,Male,Finance,Manager,03-25-2019,B,,
 david ,35.0,65000.0,Female,Sales,Analyst,03-25-2019,A,user@domain.com,123-456-7890
 bob ,35.0,70000.0,Female,IT,Analyst,2020/02/20,B,email@example.com, 
 frank ,35.0,50000.0,Male,IT,Director,"April 5, 2018",A,email@example.com, 
 jack ,35.0,50000.0,Other,Finance,Clerk,"April 5, 2018",D,user@domain.com, 
 david ,50.0,50000.0,Female,Sales,Analyst,"April 5, 2018",F,user@domain.com,
 frank ,25.0,60000.0,Male,Finance,Clerk,03-25-2019,D,,098-765-4321
